,스킬 ID,분류,레벨,설명,값_01,값_02,값_03
int,int,int,int,string,int,int,int
cha_skill_lv_id,cha_skill_id,cha_skill_class,cha_skill_lv,,value_01,value_02,value_03
232001001,2310011,1,1,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,30,0,0
232001002,2310011,1,2,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,40,0,0
232001003,2310011,1,3,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,50,0,0
232001004,2310011,1,4,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,60,0,0
232001005,2310011,1,5,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,70,0,0
232001006,2310011,1,6,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,80,0,0
232001007,2310011,1,7,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,90,0,0
232001008,2310011,1,8,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,100,0,0
232001009,2310011,1,9,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,110,0,0
232001010,2310011,1,10,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,120,0,0
232001011,2310011,1,11,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,130,0,0
232001012,2310011,1,12,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,140,0,0
232001013,2310011,1,13,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,150,0,0
232001014,2310011,1,14,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,160,0,0
232001015,2310011,1,15,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,170,0,0
232002001,2310021,2,1,화염구를 발사합니다. 화염구는 적에게 적중 시 폭발하여 양 옆의 적에게 공격력의 {N_01}%의 피해를 입힙니다.,50,0,0
232002002,2310021,2,2,화염구를 발사합니다. 화염구는 적에게 적중 시 폭발하여 양 옆의 적에게 공격력의 {N_01}%의 피해를 입힙니다.,60,0,0
232002003,2310021,2,3,화염구를 발사합니다. 화염구는 적에게 적중 시 폭발하여 양 옆의 적에게 공격력의 {N_01}%의 피해를 입힙니다.,70,0,0
232002004,2310021,2,4,화염구를 발사합니다. 화염구는 적에게 적중 시 폭발하여 양 옆의 적에게 공격력의 {N_01}%의 피해를 입힙니다.,80,0,0
232002005,2310021,2,5,화염구를 발사합니다. 화염구는 적에게 적중 시 폭발하여 양 옆의 적에게 공격력의 {N_01}%의 피해를 입힙니다.,90,0,0
232002006,2310021,2,6,화염구를 발사합니다. 화염구는 적에게 적중 시 폭발하여 양 옆의 적에게 공격력의 {N_01}%의 피해를 입힙니다.,100,0,0
232002007,2310021,2,7,화염구를 발사합니다. 화염구는 적에게 적중 시 폭발하여 양 옆의 적에게 공격력의 {N_01}%의 피해를 입힙니다.,110,0,0
232002008,2310021,2,8,화염구를 발사합니다. 화염구는 적에게 적중 시 폭발하여 양 옆의 적에게 공격력의 {N_01}%의 피해를 입힙니다.,120,0,0
232002009,2310021,2,9,화염구를 발사합니다. 화염구는 적에게 적중 시 폭발하여 양 옆의 적에게 공격력의 {N_01}%의 피해를 입힙니다.,130,0,0
232002010,2310021,2,10,화염구를 발사합니다. 화염구는 적에게 적중 시 폭발하여 양 옆의 적에게 공격력의 {N_01}%의 피해를 입힙니다.,140,0,0
232002011,2310021,2,11,화염구를 발사합니다. 화염구는 적에게 적중 시 폭발하여 양 옆의 적에게 공격력의 {N_01}%의 피해를 입힙니다.,150,0,0
232002012,2310021,2,12,화염구를 발사합니다. 화염구는 적에게 적중 시 폭발하여 양 옆의 적에게 공격력의 {N_01}%의 피해를 입힙니다.,160,0,0
232002013,2310021,2,13,화염구를 발사합니다. 화염구는 적에게 적중 시 폭발하여 양 옆의 적에게 공격력의 {N_01}%의 피해를 입힙니다.,170,0,0
232002014,2310021,2,14,화염구를 발사합니다. 화염구는 적에게 적중 시 폭발하여 양 옆의 적에게 공격력의 {N_01}%의 피해를 입힙니다.,180,0,0
232002015,2310021,2,15,화염구를 발사합니다. 화염구는 적에게 적중 시 폭발하여 양 옆의 적에게 공격력의 {N_01}%의 피해를 입힙니다.,190,0,0
